company_name,ticker,employees,esg_score,piotroski_score,altman_score,sdg_no_poverty,sdg_no_hunger,sdg_good_health,sdg_quality_education,sdg_gender_equality,sdg_clean_water,sdg_clean_energy,sdg_decent_work,sdg_industry_innovation,sdg_reduced_inequalities,sdg_sustainable_cities,sdg_responsible_consumption,sdg_climate_action,sdg_life_below_water,sdg_life_on_land,sdg_peace_justice,sdg_partnerships
"F5 Networks",FFIV,6459.00,17.20,9.00,4.080,No,No,No,No,Aligned,No,No,Aligned,No,No,No,Aligned,No,No,No,No,No
Dell,DELL,120000.00,14.40,7.00,1.630,No,No,No,No,Aligned,No,Aligned,Aligned,Aligned,Aligned,No,Aligned,Aligned,No,No,No,No
"Hewlett Packard",HPQ,58000.00,12.30,7.00,1.910,No,No,No,No,Aligned,No,No,Aligned,No,Aligned,No,No,Aligned,No,No,No,No
IBM,IBM,282200.00,14.10,5.00,3.080,No,No,No,No,No,No,No,No,No,No,No,Aligned,Aligned,No,No,No,No
"Juniper Networks",JNPR,11144.00,14.50,5.00,1.850,No,No,No,No,No,No,No,Aligned,No,Aligned,No,Aligned,No,No,No,No,No
"Palo Alto Networks",PANW,14789.00,14.10,6.00,4.540,No,No,No,No,Aligned,No,No,No,No,Aligned,No,No,Aligned,No,No,Aligned,No
"Check Point Software Technologies",CHKP,6450.00,18.10,7.00,8.170,No,No,No,No,Aligned,No,No,No,No,No,No,No,Aligned,No,No,Aligned,No
Symantec,GEN,3700.00,15.40,6.00,0.930,No,No,No,No,Aligned,No,Aligned,Aligned,No,Aligned,No,No,Aligned,No,No,Aligned,No
Oracle,ORCL,164000.00,14.10,7.00,1.900,No,No,No,No,Aligned,Aligned,No,No,No,No,No,Aligned,No,No,No,No,No
Microsoft,MSFT,221000.00,15.40,6.00,9.380,No,No,No,No,Aligned,No,No,No,No,No,No,Aligned,No,No,No,No,No
Cisco,CSCO,84900.00,13.90,8.00,3.350,No,No,No,No,Aligned,Aligned,No,No,No,Aligned,No,Aligned,Aligned,No,No,No,No
Fortinet,FTNT,13568.00,18.20,6.00,4.850,No,No,No,No,Aligned,No,No,No,No,Aligned,No,No,Aligned,No,No,No,No
"A-T Solutions",CTSH,347700.00,16.50,7.00,6.540,No,No,No,No,Aligned,No,Aligned,No,No,Aligned,No,Aligned,Aligned,No,No,No,No
"Thor Industries",THO,24900.00,28.80,6.00,3.600,No,No,No,No,Aligned,No,Aligned,No,Aligned,Aligned,No,No,Aligned,No,No,No,No
Technomedia,TECH,3200.00,17.50,4.00,10.610,No,No,No,No,No,No,No,Aligned,No,No,No,No,No,No,No,No,No
Harris,LHX,50000.00,21.10,5.00,1.770,No,No,No,No,Aligned,No,No,No,No,No,No,No,Aligned,No,No,No,No
SWIFT,KNX,34300.00,18.30,4.00,1.750,No,No,No,No,Aligned,No,No,No,No,No,No,No,No,No,No,No,No
AMD,AMD,26000.00,15.00,7.00,12.540,No,No,No,No,Aligned,No,Aligned,Aligned,Aligned,Aligned,No,Aligned,Aligned,No,No,No,No
NetApp,NTAP,12000.00,15.40,7.00,2.660,No,No,No,No,Aligned,No,No,No,No,Aligned,No,No,Aligned,No,No,Aligned,No
Accenture,ACN,733000.00,9.80,7.00,7.350,No,No,No,No,Aligned,No,Aligned,No,No,No,No,Aligned,Aligned,No,No,No,No
Google,GOOGL,182381.00,24.20,8.00,13.240,No,No,No,No,Aligned,No,No,No,No,No,No,No,No,No,No,No,No
Workday,WDAY,18800.00,17.30,7.00,5.320,No,No,No,No,Aligned,No,No,No,No,No,No,No,Aligned,No,No,No,No
Adobe,ADBE,29945.00,14.90,8.00,12.660,No,No,No,No,Aligned,No,Aligned,No,Aligned,No,No,No,Aligned,No,No,No,No
